genre,count
International TV Shows,1351
TV Dramas,763
TV Comedies,581
Crime TV Shows,470
Kids' TV,451
Docuseries,395
Romantic TV Shows,370
Reality TV,255
British TV Shows,253
Anime Series,176
Spanish-Language TV Shows,174
TV Action & Adventure,168
Korean TV Shows,151
TV Mysteries,98
Science & Nature TV,92
